Job Class,Percentage,Helpful Link
Management,6.1,https://www.ziprecruiter.com/c/Walmart/Job/Manager,-Strategic-Account-Management/-in-New-York,NY?jid=e7d2b8583d71a093&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Business and Financial operations,5,https://www.linkedin.com/jobs/view/financial-analyst-at-jimmy-choo-4029987394?position=1&pageNum=0&refId=v1pVV1F1k9ErgiBsPD5%2BSA%3D%3D&trackingId=v31CPVRR91XUs1hHWgNrcw%3D%3D
Computer and Mathematical,2.7,"https://www.linkedin.com/jobs/view/senior-quantitative-developer-bquant-research-platform-at-bloomberg-4008385724?trk=public_jobs_topcard-title"
Architecture and Engineering,1.7,"https://www.linkedin.com/jobs/view/assistant-project-manager-at-armand-corporation-4029061576?trk=public_jobs_topcard-title"
Life, Physical and Social Science,0.9,https://www.linkedin.com/jobs/view/marketing-researcher-at-meta-3836099981?position=1&pageNum=0&refId=m0EIYlODK%2FqJJ9WVY36sXw%3D%3D&trackingId=quFt8JjQP7DbnHdAA8eTyg%3D%3D
Community and Social Service,1.6,https://www.linkedin.com/jobs/view/school-based-social-worker-%2465-000-%2470-000-at-family-children-s-association-3968761145?trk=public_jobs_topcard-title
Legal,0.8,https://www.linkedin.com/jobs/view/legal-executive-assistant-global-law-firm-at-kay-search-group-4017830626?trk=public_jobs_topcard-title
Education, training and library,6.1,https://www.linkedin.com/jobs/view/2024-2025-school-aide-posting-district-75-at-nyc-department-of-education-4030918128?trk=public_jobs_topcard-title
Arts, design, entertainment, sports and media,1.7,https://www.linkedin.com/jobs/view/joan-tisch-teaching-fellows-at-whitney-museum-of-american-art-3981395674?trk=public_jobs_topcard-title
Healthcare practioners and technical,5.5,https://www.indeed.com/q-Healthcare-Practitioners-Technical-jobs.html
Healthcare support,2.8,https://www.indeed.com/q-Healthcare-Support-jobs.html
Protective service,2.3,https://www.indeed.com/q-Protective-Service-jobs.html
Food preparation and serving,8.3,"https://www.indeed.com/q-Food-Preparation-and-Serving-jobs.html"
Building and grounds cleaning and maintenance,3.7,"https://www.indeed.com/q-Building-and-Grounds-Cleaning-jobs.html"
Personal care and service,4,"https://www.indeed.com/q-Personal-Care-and-Service-jobs.html"
Sales,10.2,"https://www.indeed.com/q-Sales-jobs.html"
Office and administrative support,15.1,"https://www.indeed.com/q-Office-and-Administrative-Support-jobs.html"
Farming, fishing and forestry,0.6,"https://www.indeed.com/q-Farming-Fishing-and-Forestry-jobs.html"
Construction and extraction,4.3,"https://www.indeed.com/q-Construction-Extraction-jobs.html"
Installation, maintenance and repair,3.8,"https://www.indeed.com/q-Installation-Maintenance-Repair-jobs.html"
Production,6.1,"https://www.indeed.com/q-Production-jobs.html"
Transportation and material moving,6.5,https://www.indeed.com/q-Transportation-Material-Moving-jobs.html
Total,99.8, N/A
